channel,Theta,sigma
channel_1,0.01,1.0
channel_1,1.0,0.858
channel_1,2.0,0.6192
channel_1,3.0,0.6329
channel_1,4.0,1.053
channel_1,5.0,1.767
channel_1,6.0,2.44
channel_1,7.0,2.697
channel_1,8.0,2.342
channel_1,9.0,1.497
channel_1,10.0,0.5737
channel_1,11.0,0.0854
channel_1,12.0,0.3923
channel_1,13.0,1.517
channel_1,14.0,3.12
channel_1,15.0,4.646
channel_1,16.0,5.568
channel_1,17.0,5.61
channel_1,18.0,4.853
channel_1,19.0,3.688
channel_1,20.0,2.638
channel_1,21.0,2.149
channel_1,22.0,2.425
channel_1,23.0,3.37
channel_1,24.0,4.649
channel_1,25.0,5.83
channel_1,26.0,6.545
channel_1,27.0,6.607
channel_1,28.0,6.052
channel_1,29.0,5.1
channel_1,30.0,4.062
channel_1,31.0,3.225
channel_1,32.0,2.771
channel_1,33.0,2.732
channel_1,34.0,3.005
channel_1,35.0,3.409
channel_1,36.0,3.746
channel_1,37.0,3.87
channel_1,38.0,3.72
channel_1,39.0,3.326
channel_1,40.0,2.784
channel_1,41.0,2.217
channel_1,42.0,1.739
channel_1,43.0,1.42
channel_1,44.0,1.277
channel_1,45.0,1.277
channel_1,46.0,1.353
channel_1,47.0,1.435
channel_1,48.0,1.463
channel_1,49.0,1.407
channel_1,50.0,1.267
channel_1,51.0,1.069
channel_1,52.0,0.8507
channel_1,53.0,0.653
channel_1,54.0,0.5047
channel_1,55.0,0.4183
channel_1,56.0,0.3893
channel_1,57.0,0.3999
channel_1,58.0,0.4264
channel_1,59.0,0.4465
channel_1,60.0,0.4446
channel_1,61.0,0.4152
channel_1,62.0,0.3618
channel_1,63.0,0.2948
channel_1,64.0,0.2268
channel_1,65.0,0.1692
channel_1,66.0,0.1296
channel_1,67.0,0.11
channel_1,68.0,0.1075
channel_1,69.0,0.1159
channel_1,70.0,0.1273
channel_1,71.0,0.135
channel_1,72.0,0.1347
channel_1,73.0,0.1252
channel_1,74.0,0.1082
channel_1,75.0,0.08723
channel_1,76.0,0.06625
channel_1,77.0,0.04882
channel_1,78.0,0.03721
channel_1,79.0,0.03208
channel_1,80.0,0.03251
channel_1,81.0,0.03648
channel_1,82.0,0.04148
channel_1,83.0,0.04523
channel_1,84.0,0.0462
channel_1,85.0,0.04391
channel_1,86.0,0.0388
channel_1,87.0,0.03196
channel_1,88.0,0.02472
channel_1,89.0,0.01833
channel_1,90.0,0.01372
channel_1,91.0,0.01129
channel_1,92.0,0.01098
channel_1,93.0,0.01223
channel_1,94.0,0.01424
channel_1,95.0,0.01615
channel_1,96.0,0.01728
channel_1,97.0,0.01728
channel_1,98.0,0.01612
channel_1,99.0,0.01405
channel_1,100.0,0.01147
channel_1,101.0,0.008826
channel_1,102.0,0.006533
channel_1,103.0,0.004905
channel_1,104.0,0.004088
channel_1,105.0,0.004035
channel_1,106.0,0.004536
channel_1,107.0,0.005289
channel_1,108.0,0.006002
channel_1,109.0,0.006457
channel_1,110.0,0.006536
channel_1,111.0,0.006216
channel_1,112.0,0.005541
channel_1,113.0,0.004616
channel_1,114.0,0.003589
channel_1,115.0,0.002629
