channel,Theta,sigma
channel_1,0.01,2286.0
channel_1,1.0,2283.0
channel_1,2.0,2275.0
channel_1,3.0,2261.0
channel_1,4.0,2241.0
channel_1,5.0,2216.0
channel_1,6.0,2185.0
channel_1,7.0,2150.0
channel_1,8.0,2110.0
channel_1,9.0,2065.0
channel_1,10.0,2016.0
channel_1,11.0,1963.0
channel_1,12.0,1906.0
channel_1,13.0,1847.0
channel_1,14.0,1784.0
channel_1,15.0,1719.0
channel_1,16.0,1652.0
channel_1,17.0,1583.0
channel_1,18.0,1513.0
channel_1,19.0,1442.0
channel_1,20.0,1371.0
channel_1,21.0,1299.0
channel_1,22.0,1228.0
channel_1,23.0,1157.0
channel_1,24.0,1088.0
channel_1,25.0,1019.0
channel_1,26.0,952.3
channel_1,27.0,887.1
channel_1,28.0,824.0
channel_1,29.0,763.1
channel_1,30.0,704.6
channel_1,31.0,648.6
channel_1,32.0,595.3
channel_1,33.0,544.8
channel_1,34.0,497.0
channel_1,35.0,452.2
channel_1,36.0,410.2
channel_1,37.0,371.1
channel_1,38.0,334.8
channel_1,39.0,301.2
channel_1,40.0,270.4
channel_1,41.0,242.1
channel_1,42.0,216.3
channel_1,43.0,192.9
channel_1,44.0,171.8
channel_1,45.0,152.7
channel_1,46.0,135.6
channel_1,47.0,120.3
channel_1,48.0,106.7
channel_1,49.0,94.65
channel_1,50.0,83.97
channel_1,51.0,74.54
channel_1,52.0,66.24
channel_1,53.0,58.93
channel_1,54.0,52.5
channel_1,55.0,46.84
channel_1,56.0,41.85
channel_1,57.0,37.45
channel_1,58.0,33.55
channel_1,59.0,30.07
channel_1,60.0,26.97
channel_1,61.0,24.18
channel_1,62.0,21.67
channel_1,63.0,19.4
channel_1,64.0,17.33
channel_1,65.0,15.46
channel_1,66.0,13.76
channel_1,67.0,12.22
channel_1,68.0,10.84
channel_1,69.0,9.617
channel_1,70.0,8.552
channel_1,71.0,7.646
channel_1,72.0,6.905
channel_1,73.0,6.332
channel_1,74.0,5.932
channel_1,75.0,5.709
channel_1,76.0,5.665
channel_1,77.0,5.804
channel_1,78.0,6.124
channel_1,79.0,6.623
channel_1,80.0,7.298
channel_1,81.0,8.141
channel_1,82.0,9.146
channel_1,83.0,10.3
channel_1,84.0,11.59
channel_1,85.0,13.01
channel_1,86.0,14.54
channel_1,87.0,16.16
channel_1,88.0,17.85
channel_1,89.0,19.59
channel_1,90.0,21.38
channel_1,91.0,23.18
channel_1,92.0,24.98
channel_1,93.0,26.75
channel_1,94.0,28.49
channel_1,95.0,30.18
channel_1,96.0,31.8
channel_1,97.0,33.33
channel_1,98.0,34.76
channel_1,99.0,36.09
channel_1,100.0,37.3
channel_1,101.0,38.39
channel_1,102.0,39.35
channel_1,103.0,40.18
channel_1,104.0,40.87
channel_1,105.0,41.44
channel_1,106.0,41.87
channel_1,107.0,42.18
channel_1,108.0,42.37
channel_1,109.0,42.45
channel_1,110.0,42.42
channel_1,111.0,42.29
channel_1,112.0,42.08
channel_1,113.0,41.8
channel_1,114.0,41.44
channel_1,115.0,41.04
channel_1,116.0,40.59
channel_1,117.0,40.12
channel_1,118.0,39.62
channel_1,119.0,39.12
channel_1,120.0,38.62
channel_1,121.0,38.13
channel_1,122.0,37.67
channel_1,123.0,37.23
channel_1,124.0,36.84
channel_1,125.0,36.5
channel_1,126.0,36.21
channel_1,127.0,35.98
channel_1,128.0,35.82
channel_1,129.0,35.73
channel_1,130.0,35.71
channel_1,131.0,35.77
channel_1,132.0,35.91
channel_1,133.0,36.13
channel_1,134.0,36.43
channel_1,135.0,36.82
channel_1,136.0,37.29
channel_1,137.0,37.84
channel_1,138.0,38.48
channel_1,139.0,39.2
channel_1,140.0,39.99
channel_1,141.0,40.87
channel_1,142.0,41.82
channel_1,143.0,42.85
channel_1,144.0,43.95
channel_1,145.0,45.12
channel_1,146.0,46.36
channel_1,147.0,47.66
channel_1,148.0,49.02
channel_1,149.0,50.44
channel_1,150.0,51.91
channel_1,151.0,53.43
channel_1,152.0,55.0
channel_1,153.0,56.6
channel_1,154.0,58.24
channel_1,155.0,59.9
channel_1,156.0,61.59
channel_1,157.0,63.3
channel_1,158.0,65.01
channel_1,159.0,66.73
channel_1,160.0,68.44
channel_1,161.0,70.14
channel_1,162.0,71.82
channel_1,163.0,73.48
channel_1,164.0,75.09
channel_1,165.0,76.66
channel_1,166.0,78.18
channel_1,167.0,79.64
channel_1,168.0,81.03
channel_1,169.0,82.34
channel_1,170.0,83.57
channel_1,171.0,84.7
channel_1,172.0,85.74
channel_1,173.0,86.67
channel_1,174.0,87.49
channel_1,175.0,88.19
channel_1,176.0,88.77
channel_1,177.0,89.22
channel_1,178.0,89.55
channel_1,179.0,89.75
channel_1,180.0,89.82
