channel,Theta,sigma
channel_1,0.01,1.0
channel_1,1.0,0.9956
channel_1,2.0,0.9106
channel_1,3.0,0.7792
channel_1,4.0,0.6609
channel_1,5.0,0.5984
channel_1,6.0,0.6128
channel_1,7.0,0.7036
channel_1,8.0,0.8514
channel_1,9.0,1.023
channel_1,10.0,1.178
channel_1,11.0,1.277
channel_1,12.0,1.29
channel_1,13.0,1.203
channel_1,14.0,1.02
channel_1,15.0,0.7672
channel_1,16.0,0.4862
channel_1,17.0,0.2304
channel_1,18.0,0.05513
channel_1,19.0,0.00862
channel_1,20.0,0.1233
channel_1,21.0,0.4092
channel_1,22.0,0.8512
channel_1,23.0,1.41
channel_1,24.0,2.027
channel_1,25.0,2.633
channel_1,26.0,3.156
channel_1,27.0,3.537
channel_1,28.0,3.732
channel_1,29.0,3.724
channel_1,30.0,3.525
channel_1,31.0,3.172
channel_1,32.0,2.724
channel_1,33.0,2.253
channel_1,34.0,1.835
channel_1,35.0,1.539
channel_1,36.0,1.418
channel_1,37.0,1.499
channel_1,38.0,1.786
channel_1,39.0,2.254
channel_1,40.0,2.856
channel_1,41.0,3.529
channel_1,42.0,4.2
channel_1,43.0,4.8
channel_1,44.0,5.269
channel_1,45.0,5.563
channel_1,46.0,5.661
channel_1,47.0,5.566
channel_1,48.0,5.301
channel_1,49.0,4.909
channel_1,50.0,4.444
channel_1,51.0,3.965
channel_1,52.0,3.531
channel_1,53.0,3.19
channel_1,54.0,2.979
channel_1,55.0,2.914
channel_1,56.0,2.996
channel_1,57.0,3.208
channel_1,58.0,3.521
channel_1,59.0,3.894
channel_1,60.0,4.283
channel_1,61.0,4.643
channel_1,62.0,4.938
channel_1,63.0,5.137
channel_1,64.0,5.225
channel_1,65.0,5.197
channel_1,66.0,5.061
channel_1,67.0,4.834
channel_1,68.0,4.542
channel_1,69.0,4.216
channel_1,70.0,3.887
channel_1,71.0,3.583
channel_1,72.0,3.327
channel_1,73.0,3.137
channel_1,74.0,3.022
channel_1,75.0,2.983
channel_1,76.0,3.012
channel_1,77.0,3.099
channel_1,78.0,3.226
channel_1,79.0,3.374
channel_1,80.0,3.525
channel_1,81.0,3.66
channel_1,82.0,3.764
channel_1,83.0,3.827
channel_1,84.0,3.842
channel_1,85.0,3.806
channel_1,86.0,3.722
channel_1,87.0,3.596
channel_1,88.0,3.435
channel_1,89.0,3.251
channel_1,90.0,3.055
channel_1,91.0,2.86
channel_1,92.0,2.676
channel_1,93.0,2.515
channel_1,94.0,2.383
channel_1,95.0,2.288
channel_1,96.0,2.231
channel_1,97.0,2.214
channel_1,98.0,2.233
channel_1,99.0,2.283
channel_1,100.0,2.355
channel_1,101.0,2.44
channel_1,102.0,2.528
channel_1,103.0,2.606
channel_1,104.0,2.664
channel_1,105.0,2.692
channel_1,106.0,2.686
channel_1,107.0,2.641
channel_1,108.0,2.557
channel_1,109.0,2.439
channel_1,110.0,2.294
channel_1,111.0,2.133
channel_1,112.0,1.968
channel_1,113.0,1.812
channel_1,114.0,1.677
channel_1,115.0,1.574
channel_1,116.0,1.51
channel_1,117.0,1.487
channel_1,118.0,1.504
channel_1,119.0,1.554
channel_1,120.0,1.629
channel_1,121.0,1.716
channel_1,122.0,1.801
channel_1,123.0,1.87
channel_1,124.0,1.913
channel_1,125.0,1.922
channel_1,126.0,1.892
channel_1,127.0,1.826
channel_1,128.0,1.731
channel_1,129.0,1.616
channel_1,130.0,1.495
channel_1,131.0,1.383
channel_1,132.0,1.291
channel_1,133.0,1.232
channel_1,134.0,1.211
channel_1,135.0,1.229
channel_1,136.0,1.282
channel_1,137.0,1.359
channel_1,138.0,1.447
channel_1,139.0,1.528
channel_1,140.0,1.588
channel_1,141.0,1.612
channel_1,142.0,1.59
channel_1,143.0,1.52
channel_1,144.0,1.406
channel_1,145.0,1.259
channel_1,146.0,1.095
channel_1,147.0,0.9374
channel_1,148.0,0.8082
channel_1,149.0,0.7292
channel_1,150.0,0.7176
channel_1,151.0,0.783
channel_1,152.0,0.9258
channel_1,153.0,1.136
channel_1,154.0,1.395
channel_1,155.0,1.673
channel_1,156.0,1.938
channel_1,157.0,2.155
channel_1,158.0,2.292
channel_1,159.0,2.325
channel_1,160.0,2.24
channel_1,161.0,2.04
channel_1,162.0,1.742
channel_1,163.0,1.376
channel_1,164.0,0.9901
channel_1,165.0,0.6384
channel_1,166.0,0.3806
channel_1,167.0,0.2747
channel_1,168.0,0.3701
channel_1,169.0,0.7021
channel_1,170.0,1.287
channel_1,171.0,2.12
channel_1,172.0,3.169
channel_1,173.0,4.386
channel_1,174.0,5.697
channel_1,175.0,7.021
channel_1,176.0,8.267
channel_1,177.0,9.347
channel_1,178.0,10.18
channel_1,179.0,10.71
channel_1,180.0,10.89
