angle_degrees,differential_xs_absolute_mb_per_sr
0.01,7188442000000000.0
1.0,71574320.0
2.0,4091815.0
3.0,691842.5
4.0,185729.1
5.0,68910.87
6.0,34051.52
7.0,21117.75
8.0,14990.37
9.0,11252.87
10.0,8509.223577
11.0,6307.869329
12.0,4505.207387
13.0,3053.606933
14.0,1928.088308
15.0,1101.904486
16.0,540.312456
17.0,201.237457
18.0,38.375237
19.0,4.84269
20.0,56.51826
21.0,154.672165
22.0,267.722673
23.0,372.097612
24.0,452.276244
25.0,500.151512
26.0,513.891423
27.0,496.493549
28.0,454.221067
29.0,395.086206
30.0,327.512441
31.0,259.265438
32.0,196.699962
33.0,144.330134
34.0,104.697194
35.0,78.484434
36.0,64.814155
37.0,61.656183
38.0,66.280378
39.0,75.694827
40.0,87.024936
41.0,97.804091
42.0,106.16202
43.0,110.910803
44.0,111.539526
45.0,108.136245
46.0,101.26003
47.0,91.78676
48.0,80.750457
49.0,69.198158
50.0,58.071323
51.0,48.121402
52.0,39.862023
53.0,33.555882
54.0,29.231099
55.0,26.719658
56.0,25.709665
57.0,25.803234
58.0,26.572842
59.0,27.610472
60.0,28.565751
61.0,29.171128
62.0,29.253904
63.0,28.736285
64.0,27.625714
65.0,25.998247
66.0,23.978007
67.0,21.715517
68.0,19.367348
69.0,17.078895
70.0,14.971445
71.0,13.13403
72.0,11.620001
73.0,10.44776
74.0,9.604803
75.0,9.054037
76.0,8.741329
77.0,8.603292
78.0,8.574519
79.0,8.593678
80.0,8.608091
81.0,8.57669
82.0,8.471373
83.0,8.276981
84.0,7.990177
85.0,7.617547
86.0,7.173279
87.0,6.67668
88.0,6.149794
89.0,5.615273
90.0,5.094598
91.0,4.606711
92.0,4.167036
93.0,3.786866
94.0,3.473072
95.0,3.228085
96.0,3.050102
97.0,2.933489
98.0,2.869355
99.0,2.846263
100.0,2.851071
101.0,2.86986
102.0,2.888916
103.0,2.895696
104.0,2.879738
105.0,2.833417
106.0,2.752502
107.0,2.636433
108.0,2.488297
109.0,2.314474
110.0,2.123987
111.0,1.927591
112.0,1.736693
113.0,1.562203
114.0,1.41343
115.0,1.297146
116.0,1.216916
117.0,1.172763
118.0,1.161229
119.0,1.175802
120.0,1.20769
121.0,1.246835
122.0,1.283068
123.0,1.307261
124.0,1.312352
125.0,1.294114
126.0,1.251578
127.0,1.187063
128.0,1.105805
129.0,1.015228
130.0,0.923953
131.0,0.840652
132.0,0.772909
133.0,0.72622
134.0,0.703251
135.0,0.703475
136.0,0.723215
137.0,0.756114
138.0,0.793961
139.0,0.82779
140.0,0.849104
141.0,0.851072
142.0,0.829549
143.0,0.783759
144.0,0.716571
145.0,0.634289
146.0,0.545977
147.0,0.462386
148.0,0.394597
149.0,0.352553
150.0,0.343643
151.0,0.371542
152.0,0.435459
153.0,0.529902
154.0,0.645039
155.0,0.767631
156.0,0.882458
157.0,0.974106
158.0,1.028907
159.0,1.036816
160.0,0.993009
161.0,0.898973
162.0,0.762954
163.0,0.599663
164.0,0.429222
165.0,0.275431
166.0,0.163506
167.0,0.117506
168.0,0.157701
169.0,0.298174
170.0,0.544912
171.0,0.8946
172.0,1.334294
173.0,1.842015
174.0,2.388262
175.0,2.938298
176.0,3.455023
177.0,3.902157
178.0,4.247424
179.0,4.465431
179.99,4.539951
