channel,Theta,sigma
channel_1,0.01,1.0
channel_1,1.0,0.9975
channel_1,2.0,0.9136
channel_1,3.0,0.7775
channel_1,4.0,0.6483
channel_1,5.0,0.5707
channel_1,6.0,0.5692
channel_1,7.0,0.6467
channel_1,8.0,0.7874
channel_1,9.0,0.9609
channel_1,10.0,1.129
channel_1,11.0,1.252
channel_1,12.0,1.298
channel_1,13.0,1.248
channel_1,14.0,1.104
channel_1,15.0,0.8837
channel_1,16.0,0.6231
channel_1,17.0,0.3706
channel_1,18.0,0.1782
channel_1,19.0,0.0938
channel_1,20.0,0.1528
channel_1,21.0,0.3715
channel_1,22.0,0.7438
channel_1,23.0,1.241
channel_1,24.0,1.816
channel_1,25.0,2.408
channel_1,26.0,2.954
channel_1,27.0,3.396
channel_1,28.0,3.69
channel_1,29.0,3.812
channel_1,30.0,3.76
channel_1,31.0,3.558
channel_1,32.0,3.248
channel_1,33.0,2.887
channel_1,34.0,2.537
channel_1,35.0,2.257
channel_1,36.0,2.096
channel_1,37.0,2.086
channel_1,38.0,2.237
channel_1,39.0,2.542
channel_1,40.0,2.969
channel_1,41.0,3.475
channel_1,42.0,4.009
channel_1,43.0,4.515
channel_1,44.0,4.945
channel_1,45.0,5.26
channel_1,46.0,5.438
channel_1,47.0,5.471
channel_1,48.0,5.369
channel_1,49.0,5.157
channel_1,50.0,4.868
channel_1,51.0,4.542
channel_1,52.0,4.22
channel_1,53.0,3.937
channel_1,54.0,3.723
channel_1,55.0,3.593
channel_1,56.0,3.555
channel_1,57.0,3.602
channel_1,58.0,3.72
channel_1,59.0,3.886
channel_1,60.0,4.074
channel_1,61.0,4.257
channel_1,62.0,4.412
channel_1,63.0,4.519
channel_1,64.0,4.566
channel_1,65.0,4.548
channel_1,66.0,4.466
channel_1,67.0,4.33
channel_1,68.0,4.152
channel_1,69.0,3.95
channel_1,70.0,3.741
channel_1,71.0,3.541
channel_1,72.0,3.363
channel_1,73.0,3.218
channel_1,74.0,3.11
channel_1,75.0,3.041
channel_1,76.0,3.006
channel_1,77.0,2.999
channel_1,78.0,3.01
channel_1,79.0,3.029
channel_1,80.0,3.046
channel_1,81.0,3.051
channel_1,82.0,3.037
channel_1,83.0,3.0
channel_1,84.0,2.939
channel_1,85.0,2.855
channel_1,86.0,2.752
channel_1,87.0,2.637
channel_1,88.0,2.515
channel_1,89.0,2.395
channel_1,90.0,2.282
channel_1,91.0,2.183
channel_1,92.0,2.101
channel_1,93.0,2.038
channel_1,94.0,1.994
channel_1,95.0,1.966
channel_1,96.0,1.95
channel_1,97.0,1.941
channel_1,98.0,1.935
channel_1,99.0,1.925
channel_1,100.0,1.908
channel_1,101.0,1.881
channel_1,102.0,1.841
channel_1,103.0,1.79
channel_1,104.0,1.729
channel_1,105.0,1.661
channel_1,106.0,1.589
channel_1,107.0,1.519
channel_1,108.0,1.453
channel_1,109.0,1.395
channel_1,110.0,1.347
channel_1,111.0,1.311
channel_1,112.0,1.286
channel_1,113.0,1.269
channel_1,114.0,1.26
channel_1,115.0,1.254
channel_1,116.0,1.249
channel_1,117.0,1.242
channel_1,118.0,1.23
channel_1,119.0,1.212
channel_1,120.0,1.189
channel_1,121.0,1.161
channel_1,122.0,1.13
channel_1,123.0,1.1
channel_1,124.0,1.071
channel_1,125.0,1.047
channel_1,126.0,1.03
channel_1,127.0,1.019
channel_1,128.0,1.015
channel_1,129.0,1.015
channel_1,130.0,1.018
channel_1,131.0,1.02
channel_1,132.0,1.018
channel_1,133.0,1.01
channel_1,134.0,0.9932
channel_1,135.0,0.9676
channel_1,136.0,0.9341
channel_1,137.0,0.895
channel_1,138.0,0.8539
channel_1,139.0,0.8154
channel_1,140.0,0.7839
channel_1,141.0,0.764
channel_1,142.0,0.7589
channel_1,143.0,0.7703
channel_1,144.0,0.798
channel_1,145.0,0.8396
channel_1,146.0,0.8907
channel_1,147.0,0.9453
channel_1,148.0,0.9965
channel_1,149.0,1.037
channel_1,150.0,1.061
channel_1,151.0,1.064
channel_1,152.0,1.042
channel_1,153.0,0.9975
channel_1,154.0,0.9334
channel_1,155.0,0.8564
channel_1,156.0,0.7755
channel_1,157.0,0.7014
channel_1,158.0,0.6451
channel_1,159.0,0.6172
channel_1,160.0,0.6264
channel_1,161.0,0.6784
channel_1,162.0,0.7754
channel_1,163.0,0.9157
channel_1,164.0,1.094
channel_1,165.0,1.3
channel_1,166.0,1.523
channel_1,167.0,1.748
channel_1,168.0,1.964
channel_1,169.0,2.157
channel_1,170.0,2.317
channel_1,171.0,2.438
channel_1,172.0,2.518
channel_1,173.0,2.556
channel_1,174.0,2.56
channel_1,175.0,2.536
channel_1,176.0,2.495
channel_1,177.0,2.449
channel_1,178.0,2.408
channel_1,179.0,2.379
channel_1,180.0,2.369
