angle_degrees,differential_xs_absolute_mb_per_sr
0.01,7188443000000000.0
1.0,71709610.0
2.0,4105589.0
3.0,690357.4
4.0,182191.6
5.0,65728.05
6.0,31626.68
7.0,19408.83
8.0,13863.57
9.0,10571.42
10.0,8154.571372
11.0,6182.557905
12.0,4531.106064
13.0,3169.370576
14.0,2086.827316
15.0,1269.195344
16.0,692.45554
17.0,323.646296
18.0,124.017619
19.0,52.700332
20.0,70.071508
21.0,140.443974
22.0,233.931086
23.0,327.469068
24.0,405.065561
25.0,457.400821
26.0,480.942666
27.0,476.750086
28.0,449.136001
29.0,404.340203
30.0,349.333428
31.0,290.837378
32.0,234.607865
33.0,184.993175
34.0,144.750209
35.0,115.078947
36.0,95.822141
37.0,85.77165
38.0,83.024443
39.0,85.338491
40.0,90.449622
41.0,96.323083
42.0,101.326284
43.0,104.320694
44.0,104.680069
45.0,102.248691
46.0,97.256923
47.0,90.212341
48.0,81.783489
49.0,72.690507
50.0,63.613091
51.0,55.122183
52.0,47.63782
53.0,41.412264
54.0,36.534952
55.0,32.954179
56.0,30.509706
57.0,28.970503
58.0,28.072506
59.0,27.552341
60.0,27.174224
61.0,26.748578
62.0,26.142054
63.0,25.279662
64.0,24.140359
65.0,22.747898
66.0,21.158822
67.0,19.44944
68.0,17.703328
69.0,16.000553
70.0,14.409371
71.0,12.980778
72.0,11.745916
73.0,10.716029
74.0,9.88451
75.0,9.230411
76.0,8.722806
77.0,8.325408
78.0,8.000931
79.0,7.714812
80.0,7.438039
81.0,7.14896
82.0,6.834073
83.0,6.48788
84.0,6.111985
85.0,5.713631
86.0,5.303907
87.0,4.895857
88.0,4.502674
89.0,4.136149
90.0,3.805492
91.0,3.516579
92.0,3.27165
93.0,3.069429
94.0,2.905592
95.0,2.773512
96.0,2.665153
97.0,2.57202
98.0,2.486057
99.0,2.400404
100.0,2.309952
101.0,2.211648
102.0,2.104557
103.0,1.989686
104.0,1.869607
105.0,1.747958
106.0,1.628859
107.0,1.516343
108.0,1.413845
109.0,1.323817
110.0,1.247488
111.0,1.184806
112.0,1.134531
113.0,1.094473
114.0,1.06184
115.0,1.033614
116.0,1.006952
117.0,0.979514
118.0,0.949716
119.0,0.916854
120.0,0.88111
121.0,0.84343
122.0,0.805308
123.0,0.768497
124.0,0.734711
125.0,0.705331
126.0,0.681179
127.0,0.662383
128.0,0.648345
129.0,0.637822
130.0,0.629107
131.0,0.620277
132.0,0.609488
133.0,0.595254
134.0,0.576693
135.0,0.553685
136.0,0.526931
137.0,0.497899
138.0,0.468652
139.0,0.441593
140.0,0.419145
141.0,0.40341
142.0,0.395858
143.0,0.397079
144.0,0.406643
145.0,0.423076
146.0,0.443982
147.0,0.466286
148.0,0.486571
149.0,0.50149
150.0,0.508184
151.0,0.50467
152.0,0.490148
153.0,0.465177
154.0,0.431711
155.0,0.392973
156.0,0.353172
157.0,0.317101
158.0,0.289655
159.0,0.27531
160.0,0.277632
161.0,0.298871
162.0,0.339678
163.0,0.398986
164.0,0.474076
165.0,0.560807
166.0,0.654005
167.0,0.747963
168.0,0.836996
169.0,0.915995
170.0,0.98092
171.0,1.029174
172.0,1.059822
173.0,1.073631
174.0,1.072913
175.0,1.061219
176.0,1.042883
177.0,1.022495
178.0,1.004352
179.0,0.991945
179.99,0.987547
